,real,imaginary,key_subcarriers_118_34,key_antennas_118_34,key_user_position
0,1.3515625,0.02734375,0,34,[ 732 1780  400]
1,1.390625,-0.03125,1,34,[ 732 1780  400]
2,1.42578125,-0.09765625,2,34,[ 732 1780  400]
3,1.42578125,-0.14453125,3,34,[ 732 1780  400]
4,1.4140625,-0.2109375,4,34,[ 732 1780  400]
5,1.41796875,-0.28125,5,34,[ 732 1780  400]
6,1.4296875,-0.32421875,6,34,[ 732 1780  400]
7,1.4140625,-0.38671875,7,34,[ 732 1780  400]
8,1.42578125,-0.41015625,8,34,[ 732 1780  400]
9,1.40234375,-0.4765625,9,34,[ 732 1780  400]
10,1.40234375,-0.51953125,10,34,[ 732 1780  400]
11,1.375,-0.55859375,11,34,[ 732 1780  400]
12,1.37109375,-0.5625,12,34,[ 732 1780  400]
13,1.34765625,-0.609375,13,34,[ 732 1780  400]
14,1.3359375,-0.62890625,14,34,[ 732 1780  400]
15,1.33203125,-0.65625,15,34,[ 732 1780  400]
16,1.296875,-0.6796875,16,34,[ 732 1780  400]
17,1.296875,-0.69140625,17,34,[ 732 1780  400]
18,1.296875,-0.703125,18,34,[ 732 1780  400]
19,1.28125,-0.73046875,19,34,[ 732 1780  400]
20,1.29296875,-0.73046875,20,34,[ 732 1780  400]
21,1.2578125,-0.7421875,21,34,[ 732 1780  400]
22,1.26953125,-0.75,22,34,[ 732 1780  400]
23,1.25390625,-0.76953125,23,34,[ 732 1780  400]
24,1.2265625,-0.78515625,24,34,[ 732 1780  400]
25,1.23046875,-0.7890625,25,34,[ 732 1780  400]
26,1.25,-0.8046875,26,34,[ 732 1780  400]
27,1.2421875,-0.80078125,27,34,[ 732 1780  400]
28,1.22265625,-0.8125,28,34,[ 732 1780  400]
29,1.2265625,-0.83984375,29,34,[ 732 1780  400]
30,1.22265625,-0.85546875,30,34,[ 732 1780  400]
31,1.22265625,-0.8359375,31,34,[ 732 1780  400]
32,1.2109375,-0.84375,32,34,[ 732 1780  400]
33,1.2109375,-0.85546875,33,34,[ 732 1780  400]
34,1.19921875,-0.84375,34,34,[ 732 1780  400]
35,1.2109375,-0.8671875,35,34,[ 732 1780  400]
36,1.19921875,-0.8671875,36,34,[ 732 1780  400]
37,1.18359375,-0.87109375,37,34,[ 732 1780  400]
38,1.17578125,-0.8671875,38,34,[ 732 1780  400]
39,1.19140625,-0.87109375,39,34,[ 732 1780  400]
40,1.1640625,-0.8671875,40,34,[ 732 1780  400]
41,1.1640625,-0.87890625,41,34,[ 732 1780  400]
42,1.17578125,-0.8671875,42,34,[ 732 1780  400]
43,1.17578125,-0.85546875,43,34,[ 732 1780  400]
44,1.17578125,-0.87890625,44,34,[ 732 1780  400]
45,1.16015625,-0.87109375,45,34,[ 732 1780  400]
46,1.171875,-0.8515625,46,34,[ 732 1780  400]
47,1.15625,-0.85546875,47,34,[ 732 1780  400]
48,1.13671875,-0.8515625,48,34,[ 732 1780  400]
49,1.14453125,-0.85546875,49,34,[ 732 1780  400]
50,1.15625,-0.84375,50,34,[ 732 1780  400]
51,1.1640625,-0.82421875,51,34,[ 732 1780  400]
52,1.13671875,-0.828125,52,34,[ 732 1780  400]
53,1.125,-0.83984375,53,34,[ 732 1780  400]
54,1.14453125,-0.82421875,54,34,[ 732 1780  400]
55,1.14453125,-0.82421875,55,34,[ 732 1780  400]
56,1.12109375,-0.80078125,56,34,[ 732 1780  400]
57,1.125,-0.796875,57,34,[ 732 1780  400]
58,1.13671875,-0.7734375,58,34,[ 732 1780  400]
59,1.1328125,-0.76953125,59,34,[ 732 1780  400]
60,1.15625,-0.76953125,60,34,[ 732 1780  400]
61,1.12109375,-0.7578125,61,34,[ 732 1780  400]
62,1.109375,-0.734375,62,34,[ 732 1780  400]
63,1.09375,-0.7421875,63,34,[ 732 1780  400]
64,1.125,-0.73046875,64,34,[ 732 1780  400]
65,1.109375,-0.7109375,65,34,[ 732 1780  400]
66,1.1171875,-0.70703125,66,34,[ 732 1780  400]
67,1.109375,-0.6796875,67,34,[ 732 1780  400]
68,1.09375,-0.67578125,68,34,[ 732 1780  400]
69,1.109375,-0.66796875,69,34,[ 732 1780  400]
70,1.08984375,-0.64453125,70,34,[ 732 1780  400]
71,1.09765625,-0.63671875,71,34,[ 732 1780  400]
72,1.09765625,-0.61328125,72,34,[ 732 1780  400]
73,1.08984375,-0.6015625,73,34,[ 732 1780  400]
74,1.09765625,-0.58984375,74,34,[ 732 1780  400]
75,1.109375,-0.58984375,75,34,[ 732 1780  400]
76,1.09375,-0.55078125,76,34,[ 732 1780  400]
77,1.09375,-0.54296875,77,34,[ 732 1780  400]
78,1.09375,-0.54296875,78,34,[ 732 1780  400]
79,1.09765625,-0.5234375,79,34,[ 732 1780  400]
80,1.1171875,-0.484375,80,34,[ 732 1780  400]
81,1.078125,-0.48046875,81,34,[ 732 1780  400]
82,1.10546875,-0.4765625,82,34,[ 732 1780  400]
83,1.09765625,-0.45703125,83,34,[ 732 1780  400]
84,1.08203125,-0.44140625,84,34,[ 732 1780  400]
85,1.109375,-0.42578125,85,34,[ 732 1780  400]
86,1.109375,-0.42578125,86,34,[ 732 1780  400]
87,1.08984375,-0.40234375,87,34,[ 732 1780  400]
88,1.08203125,-0.41015625,88,34,[ 732 1780  400]
89,1.08984375,-0.3828125,89,34,[ 732 1780  400]
90,1.09765625,-0.390625,90,34,[ 732 1780  400]
91,1.08984375,-0.37109375,91,34,[ 732 1780  400]
92,1.0703125,-0.35546875,92,34,[ 732 1780  400]
93,1.06640625,-0.359375,93,34,[ 732 1780  400]
94,1.078125,-0.34765625,94,34,[ 732 1780  400]
95,1.06640625,-0.34765625,95,34,[ 732 1780  400]
96,1.0546875,-0.3359375,96,34,[ 732 1780  400]
97,1.0390625,-0.3203125,97,34,[ 732 1780  400]
98,1.03125,-0.3359375,98,34,[ 732 1780  400]
99,1.0390625,-0.34375,99,34,[ 732 1780  400]
